Project ID,Year,Year Project Number,Project Name,Document Link,Legitimacy,Website Link,Country,Topic Area,Notes,Full Abstract,Rank,Tech-Solution,,,,,,,,,,,,,,,,
2015-11,2015,11,Group Captive Power Plants in Small and Medium-Scale Industrial Clusters in India,,,,India,Energy,- We propose an alternative by setting up pooled group-captive power plants (G-CPPs) in SME clusters of firms that face capital and land constraints. ,"Industrial energy provision from the power grid remains highly unreliable in developing countries, severely affecting small and medium enterprises (SMEs) in manufacturing. SMEs are the backbone of the Indian economy, employing 40 percent of the workforce and contributing to 45 percent of manufacturing output. Power outages affect their competitiveness, reduc- ing economic growth and employment rates. As a way out, some firms set up their own backyard captive power plants (CPPs), although most cannot do so because of firm-level financial and infrastructural constraints. The popular residual option is inefficient, environmentally harmful diesel generators and individual CPPs.
We propose an alternative by setting up pooled group-CPPs (G-CPPs) in SME clusters of firms that face capital and land constraints. We assess and identify the differentiating motivators, costs, and constraints for a G-CPP. In our model, a special purpose vehicle (SPV) is set up through investment (equity or cofinanced debt) in a pool of assets by cluster firms. The SPV monitors credit quality deterioration and is administered inde- pendently. Electricity charges are proportional among member firms per their consumption, and surplus electricity is traded, generating additional revenues. Substitution of individual CPPs leads to huge carbon offsetting, which is used to purchase and trade carbon emission reduction (CER) certificates.
",NA - Honourable mention,,,,,,,,,,,,,,,,,
2015-12,2015,12,A Hybrid Financing Model for Orphan Diseases,,,,NA,Healthcare,,"Roughly 10 percent of all research and development funds (R&D) spent worldwide are devoted to needs in developing countries, where 90 percent of the world’s population lives. Not surprisingly, then, only 16 of the 1,400 new medicines (or about 1 percent) developed between 1975 and 1999 were for “orphan diseases”—rare diseases that are nonetheless widespread in the developing world, affecting mostly the poorer population. We review and describe several possible reasons for this lack of development and progress before covering existing attempts to solve this financial problem of underinvestment. However, these attempted solutions suffer from struc- tural weaknesses resulting in asymmetric information and moral hazard, redundancy, and suboptimal capital allocation. Finally, we review the drug development process as well as the common framework of interaction between venture capital investors and R&D firms, after which we consider a model that exploits that structure to align incentives and solve the afore- mentioned problems. We illustrate how our solution overcomes the current market difficulties and conclude with a discussion of its feasibility and potential implementation as a governmental program.
",NA - Honourable mention,,,,,,,,,,,,,,,,,
2015-13,2015,13,Improving China’s Health System: Using Internet Finance to Broaden Access and Affordability,,,,China,Healthcare,,"Our vision: We believe that people are born equal—and that they should be equal when facing disease, death, or other serious medical situations, no matter their financial circumstances. Chinese poor people today have a serious problem accessing health and medical treatment. Because the health care system is set up such that up-front payment for medical ser- vices is required regardless of any refunds received at a later date, lower- income peasants are often effectively shut out of care.
We want to build an Internet finance platform to help resolve this problem.
The timing is right because of two recent areas of reform in Chinese government policies: (1) rural land rights, registration, and certification work; and (2) rural land circulation. Together, these reforms provide peas- ants with high-quality, semiliquid collateral for which the property right had not been established before, opening up the possibility of pledging these assets against small loans to fund the up-front costs of medical treatment.
Internet finance has become a new, rapidly growing industry in China after taking its cue from popular U.S. models, but most such efforts in China to date have focused narrowly on consumer finance. We propose to apply this concept to the health care sector to provide convenient and effi- cient finance access for those in need.
",NA - Honourable mention,,,,,,,,,,,,,,,,,
2015-14,2015,14,The International Remittance Foundation: An Innovative Way to Mobilize Remittances for Economic Development and Bring the Most Basic Services to the Poor,,,,,Remittance,,"Global remittances exceed the size of global development aid by almost three times. Yet, they are a largely untapped source of financing develop- ment. This proposal showcases a new, elegant method of funding interna- tional development projects using remittances. The idea is to establish the International Remittance Foundation (IRF), an innovative and indepen- dent organization designed to leverage remittance flows to fulfill the Sustainable Development Goals (SDGs) and bring the most basic services to the poor. By serving as a nonprofit provider of money transfer services, the IRF would apply revenues not used for money transfer operations toward a series of development initiatives aimed at assisting the commu- nities that receive remittances through the IRF. As a sustainable solution for funding economic development, the proposed agency will allow a country’s diaspora to drive their home country’s economic development and the home country’s civil society to design interventions without fund- ing from political institutions. With a total of $350 billion remitted each year around the globe, the IRF offers a unique, scalable solution to financ- ing development. The IRF would offer tailored fee structures and with- drawal venues that would appeal to citizens, while the IRF’s nonprofit status would allow for tax exemption and for a significant cost advantage over competitors.",NA - Honourable mention,,,,,,,,,,,,,,,,,
2015-15,2015,15,Shark Tank Africa: Inspiring Innovators and Ecosystems through Aspirational Media,,,,,,,"Efforts to support innovation and entrepreneurship in Sub-Saharan Africa have increased enthusiasm for start-ups but have not addressed persistent mental models that hinder innovation. Depending on the country, mental models may include a romanticized view of entrepre- neurship, mistrust of investors, low risk tolerance, and preference for traditional careers. The “Shark Tank Africa” television show concept aims to change the mental models of entrepreneurs, investors, and the broader viewership in select African markets. The show will do this by demonstrating the qualities of successful businesses and entrepreneurs, the best practices in investing, and the value of innovation and entrepre- neurship to society. Much like its American counterpart, the reality- style program will follow several different entrepreneurs each week in their quest to secure investment. However, unlike the U.S. version of the show, “Shark Tank Africa” will highlight innovations in socially oriented industries (such as health care, agriculture, and energy). Backstories of the entrepreneurs will demonstrate the real “entrepreneurial journey,” and investor pitches and negotiations will illustrate how the investor-entrepreneur relationship can be one of trust and transparency. Investments on the show will encourage viewers who are investors to take risks and become more involved in their local communities. Episodes will prompt viewers to get involved in entrepreneurship through spotlights on incubators, accelerators, and other initiatives in the region. Contestants on the show can also advertise crowdfunding campaigns for their start- ups, which will drive traffic to new crowdfunding platforms and to other listed companies seeking funding. “Shark Tank Africa” will stimulate domestic investment for promising social enterprises that are tackling major development challenges.
",NA - Honourable mention,,,,,,,,,,,,,,,,,
2015-16,2015,16,Surya: A Public-Private Partnership Model for Agricultural Development in India,,,,India,"Agriculture,
PPP",,"Surya addresses the prevalence of diesel-powered pumps in Indian agricul- ture. These devices burden farmers with high operational costs, which in turn decrease their yield and lead to lower revenue and profits. The Indian government has, in the past, provided subsidies to facilitate the adoption of electric pumps. This does not work because the required supporting infrastructure is not available in many parts of the country.
Surya tackles this problem through a concerted effort by all stake- holders in three distinct phases: First, the diesel systems are replaced by solar-powered pumps provided through a proposed association between the government, pump manufacturers, and credit institutions. Second, a financial ecosystem is developed to facilitate loan repayment by creating a dynamic marketplace through a partnership between the government and agricultural exporters, using information technology solutions to eliminate a number of inefficiencies in the existing grain distribution sys- tem. Third, the farmers receive consultancy services that enable them to use their solar-powered system efficiently to create a sustainable impact.
We propose Madhya Pradesh as the region for a pilot version of Surya and identify possible partner institutions in the state. The proposal ends by summarizing all the costs that would be incurred and the benefits that would accrue to the farming population of the state.
",NA - Honourable mention,,,,,,,,,,,,,,,,,
2015-17,2015,17,Tit for Tatting: Empowering Community End Users in Determining Resource Use and Allocation for Domestic Resource Mobilization and Improved Efficiency in Public Spending,,,,,Public Policy,,"There is a growing despair syndrome in Africa evidenced by a growing credibility deficit between the governed and those who govern. This credi- bility deficit has its roots in catastrophic governance, weak institutions, cosmetic democracy, and corruption, making it difficult to efficiently allocate and use resources. Our solution approaches this reality from the bottom, by focusing on what communities can do to increase community- level participation in resource governance. We posit that participative governance, participative democracy, and people-based approaches that integrate community voices in local community resource use and allocation are key tools in achieving more-efficient resource allocation and use in local communities. We emphasize the need to integrate structured community participation into the life cycle of community projects to guarantee greater efficiency in the stewardship of both influence and afflu- ence. Our proposal is based on the understanding that the problem is not really about acquiring new resources, but about ensuring that existing resources are properly managed.",NA - Honourable mention,,,,,,,,,,,,,,,,,
2015-18,2015,18,"Vote for Ideas, Not Politicians",,,,,"Politics,
Vote",,"The project involves the consolidation of a multiplatform application (for iOS, Android, and web) to allow any citizen with a mobile device con- nected to the Internet to propose and vote for the uses of state resource allocations to his or her city or region (based public expenditure per capita). Powered by social networks, the platform may work as a massive tool to divulge and promote the Sustainable Development Goals (SDGs), since these are action-oriented, concise, and easy to communicate, bring- ing the conversation to the masses, especially the youngest.
The platform may also work as an effective way to focus and integrate government and civil society attention on specific issues, based on the Rio+20 main resolution to establish an inclusive, democratic, and trans- parent interinstitutional process that is open to all stakeholders with a view of sustainable development. In this way, democratic participation is promoted in an innovative and effective fashion, while also battling the vices of vote selling and cronyism (corruption). Most important, citizens would be able to feel real empathy for and participation in political issues as the process becomes more transparent and open to all participants within the platform.
",NA - Honourable mention,,,,,,,,,,,,,,,,,
2016-1,2016,1,A Peer-to-Peer Hyperlocal Approach to Last-Mile Delivery in Nigeria,,,,Nigeria,Logistics,,"Logistics and supply chains are the wheels of trade, commerce and eco- nomic activity around the world. However, in developing economies and emerging markets there are numerous challenges that make access diffi- cult. Most prominent are the lack of standardized addressing systems, and inefficient or inadequate countrywide postal infrastructure that raises the cost of logistics, especially in delivery at the last mile.
Our proposal recommends a low cost peer-to-peer delivery system where senders are connected to local transporters who can carry out sched- uled or on-demand deliveries. This system will be executed by means of a technology platform that facilitates this interaction between the different customer segments. There is significant opportunity and potential in estab- lishing this service in emerging economies around the world that face sim- ilar problems. Because of the large market opportunity and its significance in the West-African region, Nigeria is our target for the solution. Our plan is to eventually expand this service regionally.
",1,Yes - Uber,,,,,,,,,,,,,,,,
2016-2,2016,2,OINCS: Using a Collaborative and Community Driven Approach to Citizen Mobility and Security,,,,,Public Security,,"Oincs is a mobile platform that aims to look after its users by keeping them alert to everything that is going on in the streets. It works thanks to the cooperation of the community itself, which shares and updates informa- tion in real time to the benefit of all.
To address rising security concerns in Latin America, community users themselves can use OINCS to inform and alert others of any adverse event or information that could be relevant to traffic and citizen security. This means that any citizen consulting our mobile app or web platform can be informed and attuned to events going on around them, saving them time, money, and risks to security.
",2,Yes - app/web,,,,,,,,,,,,,,,,
2016-3,2016,3,Increasing Transparency  in Indian Slum Labor Markets: Providing Access to Employment Information,,,,,,,"NaukriSearch is a dual platform employment service. Its goal is to reduce unemployment through increased transparency in the slum labor market of Mumbai by improving access to employment information and opportu- nities. NaukriSearch is unique from other attempts at unemployment reduction because it emphasizes use of technology that is readily available to each segment of the labor market: Internet-enabled computers for employers, and cellular SMS messages for employees. This system enables slum residents to receive accurate, up-to-date information concerning potential employment opportunities within their region.
The majority of slum residents are employed informally. NaukriSearch will provide crucial structure this economic informality. This proposal demonstrates the appropriateness of a dual platform system for a highly asymmetric Indian labor market in which employers enjoy disproportion- ate access to information. Through the implementation of electronic mar- keting campaigns easily accessible to slum populations, our team seeks to attract marginalized workers to NaukriSearch, thereby reducing frictional unemployment in the informal economy.
",3,,,,,,,,,,,,,,,,,
2016-4,2016,4,HerLife: A Term Life Insurance Product for Working Mothers in China,,,,China,Term Life Insurance,,"The life insurance market for women is large, growing, and underdevel- oped. This is particularly true for Chinese working mothers (CWMs) who have a need to protect their children from unanticipates financial risks and enhance their ability to pay for long-term insurance products. The life insurance market growth for CWMs is accelerated relative to other mar- kets: the estimated opportunity is $10.2 billion and will grow to over $60 billion by 2030.3,4 Yet Chinese life insurance companies deliver generic life insurance policies that only consider gender as an actuarial factor.5 The proposed solution is a partnership with a designated Chinese life insurance company to develop a term life insurance product called HerLife. HerLife uniquely caters to CWMs by providing education on life insurance, requir- ing a partner insurer to waive and fund premiums for three years based on contingent, women-specific life events (e.g., diagnosis of malignancies of female organs), and allowing CWMs to pay premiums suited to varying financial needs while accommodating the insurance provider’s policies. HerLife is also a launch pad to which other women-specific insurance products can be added. It will enable CWMs to secure their families’ futures while encouraging additional tailored insurance solutions for women to take part in the insurance market.",4,,,,,,,,,,,,,,,,,
2016-5,2016,5,Innovative Floating Rate Green Bond for the Reduction of Air Pollution in China—An Application to the Shanxi Province’s Case,,,,China,Air Pollution,,"Green Bonds combine fixed income financial instruments with the need to raise capital for low-carbon or green projects—assets or business activities and an environmental benefit.1 With rising capital needs for funding green projects, a growing investor focus on green financial instruments, and mature corporations’ awareness regarding social responsibilities, the vol- ume of total green bonds has increased constantly in the past few years. There are many successes in financing sustainable programs and promot- ing green initiatives in a global context. However, China, both a major air polluter and a country that suffers from deterioration of air quality, still lags far behind in the development of green bonds.2
Shanxi province is among the regions most severely affected by air pol- lution. This area, the main provider of coal resources in China, is highly dependent on revenue from coal and mining and their affiliated indus- tries, and is exposed to devastating air pollution challenges. However, the deceleration of economic growth and consequential lack of government funding hinder the local government’s ability to support sufficient invest- ment in air pollution reduction initiatives, especially within high-carbon emission industries.
",5,,,,,,,,,,,,,,,,,
2016-6,2016,6,"A New Model for Impact Investing:
Application of Impact  Units to Assess Feasibility of Social Investment Opportunities and Interventions in Kenya
",,,,Kenya,Impact Investing,,"An important driver of achieving Sustainable Development Goals, impact investing encourages social interventions that increase access to basic ser- vices such as finance, healthcare, education, clean water, and energy. Despite the growth in African economic activity, the need for high impact social interventions remains high.1 The generally low level of development in Third World countries continues to provide opportunities for impact investing through the creation of products and services that contribute to improved social, financial, and environmental welfare of local beneficiaries.
East Africa is one of the centers of global impact investing, with a dis- bursement of more than US$9.3 billion over the past five years.2 Kenya accounts for nearly half of the impact capital disbursed in East Africa. However, there is little evidence of differences that can be traced to specific impact investments. Results sometimes appear ambiguous, and many claims attributed to impact interventions are often unsubstantiated.
Our proposal introduces an impact performance measurement and val- uation tool (“Impact Units”) that will enable impact creators (such as local innovating companies, or non-profit organizations, or for-profit institu- tions running Community Social Responsibility (CSR) initiatives) to develop social interventions that demonstrate real and measurable impact as measured and certified by our proposed Impact Units.
In summary, the impact creator (most likely an entrepreneur) develops interventions targeting social impact, we (Wylde International) convert the benefits of the interventions into Impact Units which then enables the impact creator to source for buyers of the Impact Units depending on the extent of the fit between the Impact Units buyers’ objectives and the impact creators’ interventions.
The resulting better fit between the impact buyers’ objectives and the impact creators’ interventions increases the possibility that the most deserving of beneficiaries get to benefit from creators of socially inclined interventions.
",6,,,,,,,,,,,,,,,,,
2016-7,2016,7,"A Novel Practice for Mobile Money Payments: Using Fingerprints to Enable Real-Time Transactions in Nelamangala, India",,,,India,"Payments, 
Figerprints",,"In order to improve business environments in developing economies via innovative private/public partnerships, Paysa will establish cashless payment systems using fingerprint authentication in rural India. We will con- nect people’s fingerprints to their bank accounts and enable transfers from the customer’s bank account to the merchant’s bank account. We believe there is a large potential for growth because roughly only 50 percent of the global adult population holds bank accounts and the majority of this finan- cially unserved adult population live in developing countries. Our pro- posed payment process can be accessible to illiterate people because it uses fingerprints as an identification method.
Our solution to enable acceptance of mobile money payments is to partner with a local bank to encourage users to switch from cash to cash- less cell phone based transactions. We will develop a fingerprint authori- zation system connected with mobile phones or computers integrated with a biometric database to support cashless transactions between busi- ness owners and customers. In order to purchase items, the customer will place his or her finger on the fingerprint scanner, which is connected to a phone or computer. We will provide the scanner to the merchant. Our software will then go through a pre-existing database of fingerprints, Aadhaar, based in India and one of the world’s largest biometric identification systems, to verify the customer’s identity, thereby enabling the transaction.
To narrow our focus for the pilot program, we have chosen the region of Nelamangala, with a population of 37, 232 (Census India 2011). Furthermore, we included the fingerprint concept because it is a creative and secure approach and it is unique to one’s identity and difficult to alter. Using fingerprints as a form of identification meets our goal of ensuring user-friendliness by taking into account varying levels of literacy and cul- tural values in rural areas. Through our research, we have seen that using fingerprints as a form of signature is a norm in India. With the support of a grant from the Bill and Melinda Gates Foundation, we aim to execute our pilot at the beginning of next year by targeting the unbanked population to reduce poverty and increase financial mobility.
",NA - Honourable mention,Yes - Mobile,,,,,,,,,,,,,,,,
